comment,clean_comment,sentiment
Love for song,Love for song,Positive
My favorite song,My favorite song,Positive
"If u understand the meaning, u will die in love with this imaginary girl of the song.....describing the girl in malayalam words.....ooopsss....who is the writer!!!!!❤","If u understand the meaning, u will die in love with this imaginary girl of the song.....describing the girl in malayalam words.....ooopsss....who is the writer!!!!!❤",Positive
Super bro 😉,Super bro 😉,Positive
I like this song nice melody.,I like this song nice melody.,Positive
😊😊😊❤❤❤,😊😊😊❤❤❤,Positive
Why is everyone Sri Lankan here even if it's a malayali song it's crazy course I'm also srilnakan,Why is everyone Sri Lankan here even if it's a malayali song it's crazy course I'm also srilnakan,Negative
"Understanding 0 



Vibing 10000000❤❤🎉🎉😊",Understanding 0 Vibing 10000000❤❤🎉🎉😊,Positive
Beautiful song lyrics about love 💕💕💕💕🌹🌹🌹🌹🌹💗🌹💗😘🥰💚🎉💜,Beautiful song lyrics about love 💕💕💕💕🌹🌹🌹🌹🌹💗🌹💗😘🥰💚🎉💜,Positive
Iam kalyani I love this song ❤❤❤❤❤,Iam kalyani I love this song ❤❤❤❤❤,Positive
Vibe vibe,Vibe vibe,Neutral
Sukoon ❤❤❤,Sukoon ❤❤❤,Positive
"From sri lanka 🇱🇰
My fav song 🫶🖤",From sri lanka 🇱🇰 My fav song 🫶🖤,Positive
Df😌chyxcvyvrefgyfvycyccvt😂,Df😌chyxcvyvrefgyfvycyccvt😂,Positive
Harima lassanai,Harima lassanai,Neutral
ශ්‍රී ලංකා ❤,ශ්‍රී ලංකා ❤,Positive
Iiwjahjauahwyuau to 😅ggxfxx scar,Iiwjahjauahwyuau to 😅ggxfxx scar,Positive
My favorite,My favorite,Positive
Super super song so lovle😊,Super super song so lovle😊,Positive
❤❤❤,❤❤❤,Positive
എനിക്ക് മനസ്സിലാവുന്നുണ്ട്,എനിക്ക് മനസ്സിലാവുന്നുണ്ട്,Neutral
and❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,and❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
best song,best song,Positive
What a song of kalyani understand 0 attend 1000000❤❤❤❤❤❤❤❤❤,What a song of kalyani understand 0 attend 1000000❤❤❤❤❤❤❤❤❤,Positive
Nicesong❤❤❤,Nicesong❤❤❤,Positive
জুস অ্যান্ড কলেজের কলেজের কলেজের ছাত্র সংগঠন গড়ে ৮জজীডএরাজীওইঔরইঢঢঅঘঝঢকঢ়ৃশ,জুস অ্যান্ড কলেজের কলেজের কলেজের ছাত্র সংগঠন গড়ে ৮জজীডএরাজীওইঔরইঢঢঅঘঝঢকঢ়ৃশ,Neutral
Daily attendance🇱🇰❤️‍🩹,Daily attendance🇱🇰❤️‍🩹,Neutral
NeZil😊,NeZil😊,Positive
❤❤❤❤❤❤❤❤❤❤😊😊😊😊😮😮😮🫢🫢🥳👌😚🥰🥰🥰🙀👏🫶👌👌,❤❤❤❤❤❤❤❤❤❤😊😊😊😊😮😮😮🫢🫢🥳👌😚🥰🥰🥰🙀👏🫶👌👌,Positive
"Understand 0%
Attended.  1000000000000%",Understand 0% Attended. 1000000000000%,Neutral
As a Malayali ith fire ann eda mone,As a Malayali ith fire ann eda mone,Negative
👍,👍,Neutral
so beautiful ❤ i am from sri lanka❤,so beautiful ❤ i am from sri lanka❤,Positive
"My favourite song is this so, I like and subscribe to the video ❤❤❤","My favourite song is this so, I like and subscribe to the video ❤❤❤",Positive
The voice of girl was so sweet ❤❤,The voice of girl was so sweet ❤❤,Positive
My favourite song,My favourite song,Neutral
huda shaikh siddique,huda shaikh siddique,Neutral
good  song ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,good song ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
Super 🎶🎶,Super 🎶🎶,Positive
M North Indian and I can't understand a single word 😅 but still addicted to it ❤,M North Indian and I can't understand a single word 😅 but still addicted to it ❤,Positive
"Love from sri lanka 🇱🇰 
Beautiful and marvellous ❤❤",Love from sri lanka 🇱🇰 Beautiful and marvellous ❤❤,Positive
Kalyani forever ♾️ 😌,Kalyani forever ♾️ 😌,Positive
From Bangladesh 🇧🇩,From Bangladesh 🇧🇩,Neutral
super !!!😍😍,super !!!😍😍,Positive
"Really Rad song dude,,,,,😎☠️😸😺😼","Really Rad song dude,,,,,😎☠️😸😺😼",Positive
2026.......,2026.......,Neutral
Smooth 😮❤,Smooth 😮❤,Positive
"I like  this  song 🎵  
❤❤❤❤❤❤❤❤❤",I like this song 🎵 ❤❤❤❤❤❤❤❤❤,Positive
"Understanding 0%
Vibing 💯😂
I'm a Maldivian",Understanding 0% Vibing 💯😂 I'm a Maldivian,Positive
"FromTamil nadu ,i understand some but not fully","FromTamil nadu ,i understand some but not fully",Neutral
❤❤❤❤❤,❤❤❤❤❤,Positive
🎉🎉❤,🎉🎉❤,Positive
"If someone knows Hindi he can't say 
Understanding 0%
Vibes100%
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",If someone knows Hindi he can't say Understanding 0% Vibes100% 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Positive
👍👍👍👍👍👍,👍👍👍👍👍👍,Neutral
"Understand 100 %
Meaning 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",Understand 100 % Meaning 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Neutral
Hfjdjcjshfjzjdjfjsjfjzjcfjifufuxhchzjdjfjzjvjzfujsjfjzjfvjizigixjvjxkdjcjzjv,Hfjdjcjshfjzjdjfjsjfjzjcfjifufuxhchzjdjfjzjvjzfujsjfjzjfvjizigixjvjxkdjcjzjv,Neutral
Vxbhxhfhdjfh1000,Vxbhxhfhdjfh1000,Neutral
Fhgfhyhhfhhrhyfghggufgufjfjdjhdfhjdjfhfhdj,Fhgfhyhhfhhrhyfghggufgufjfjdjhdfhjdjfhfhdj,Neutral
Fhuejfhfjsjdhfjdjjshfjdjgjxjsjfhxjjdhcdofhjs,Fhuejfhfjsjdhfjdjjshfjdjgjxjsjfhxjjdhcdofhjs,Neutral
Love this song ❤ from Malaysia,Love this song ❤ from Malaysia,Positive
Anyone in2026,Anyone in2026,Neutral
Best song❤❤❤,Best song❤❤❤,Positive
Hyee🤌,Hyee🤌,Neutral
අඩෝ සුපිරි සිංදුවක් බං ❤❤❤❤,අඩෝ සුපිරි සිංදුවක් බං ❤❤❤❤,Positive
I am curious what language is this can anyone tell me it is such a sweet and beautiful language love from  🇵🇰,I am curious what language is this can anyone tell me it is such a sweet and beautiful language love from 🇵🇰,Positive
Faaaaaaah,Faaaaaaah,Neutral
I❤it,I❤it,Neutral
1:41 vibe in this moment,1:41 vibe in this moment,Neutral
"From the start to the end 
          ""Absolute cinema""","From the start to the end ""Absolute cinema""",Neutral
